2013-10-29 07:43:39: 
2013-10-29 07:43:39: System configuration: lcpu=20 mem=24576MB ent=0.50
2013-10-29 07:43:39: 
2013-10-29 07:43:39: kthr    memory              page              faults              cpu
2013-10-29 07:43:39: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 07:43:39: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 07:48:03: 5  0 3193821 1180878   0   0   0   0    0   0   0 1043 1255  0  1 98  0  0.02   3.5
2013-10-29 07:48:09: 5  0 3193821 1180878   0   0   0   0    0   0   1 1054 1306  0  1 98  0  0.02   3.4
2013-10-29 07:48:15: 4  0 3193822 1180873   0   0   0   0    0   0  17 1554 1256  3  2 95  0  0.04   8.7
2013-10-29 07:48:21: 4  0 3193822 1180873   0   0   0   0    0   0   4 1156 1272  1  1 98  0  0.02   3.8
2013-10-29 07:48:27: 1  0 3193822 1180865   0   0   0   0    0   0  13 68984 9099  7  3 90  0  0.07  14.7
2013-10-29 07:48:33: 1  0 3193822 1180865   0   0   0   0    0   0   0 1051 1247  0  1 98  0  0.02   3.5
2013-10-29 07:48:39: 1  0 3193822 1180865   0   0   0   0    0   0   7 1077 1272  1  1 98  0  0.02   3.7
2013-10-29 07:48:45: 5  0 3193822 1180865   0   0   0   0    0   0  61 1154 1290  1  3 96  0  0.03   6.7
2013-10-29 07:48:51: 1  0 3193822 1180831   0   0   0   0    0   0  28 20465 1284 21  3 76  0  0.20  39.0
2013-10-29 07:48:57: 1  0 3193822 1180831   0   0   0   0    0   0   1 1082 1179  1  1 98  0  0.02   4.3
2013-10-29 07:49:03: 1  0 3193822 1180829   0   0   0   0    0   0   8 1055 1267  1  1 98  0  0.02   3.9
2013-10-29 07:49:09: 1  0 3193822 1180827   0   0   0   0    0   0  72 21935 1348  5  2 92  0  0.07  13.0
2013-10-29 07:49:15: 1  0 3193822 1180821   0   0   0   0    0   0  75 1383 1226  6  2 92  0  0.07  13.6
2013-10-29 07:49:21: 1  0 3193822 1180819   0   0   0   0    0   0   4 1086 1217  1  1 98  0  0.02   4.0
2013-10-29 07:49:27: 1  0 3193822 1180812   0   0   0   0    0   0  37 1496 1313  6  2 92  0  0.07  14.3
2013-10-29 07:49:33: 1  0 3193822 1180812   0   0   0   0    0   0   1 1071 1273  0  1 98  0  0.02   3.7
2013-10-29 07:49:39: kthr    memory              page              faults              cpu
2013-10-29 07:49:39: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 07:49:39: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 07:49:39: 1  0 3193822 1180810   0   0   0   0    0   0   8 1090 1216  1  1 98  0  0.02   4.1
2013-10-29 07:49:45: 1  0 3193822 1180804   0   0   0   0    0   0  82 13379 1329  3  3 94  0  0.05  10.5
2013-10-29 07:49:51: 1  0 3193822 1180804   0   0   0   0    0   0   1 1053 1231  0  1 98  0  0.02   3.7
2013-10-29 07:49:57: 3  0 3193822 1180795   0   0   0   0    0   0  36 1586 1266 19  2 79  0  0.17  34.0
2013-10-29 07:50:03: 3  0 3193822 1180793   0   0   0   0    0   0   8 1540 1237  1  2 97  0  0.03   5.1
2013-10-29 07:50:09: 4  0 3193822 1180791   0   0   0   0    0   0   4 1073 1237  1  1 98  0  0.02   4.3
2013-10-29 07:50:15: 4  0 3193822 1180788   0   0   0   0    0   0   2 1085 1190  1  1 98  0  0.02   4.5
2013-10-29 07:50:21: 4  0 3193822 1180788   0   0   0   0    0   0   1 1065 1216  1  1 98  0  0.02   3.5
2013-10-29 07:50:27: 4  0 3193822 1180786   0   0   0   0    0   0   9 1280 1278  2  1 97  0  0.03   5.8
2013-10-29 07:50:33: 4  0 3193822 1180786   0   0   0   0    0   0   5 1109 1280  4  1 95  0  0.04   8.6
2013-10-29 07:50:39: 7  0 3193822 1180782   0   0   0   0    0   0   7 223359 25332 51  6 43  0  0.33  66.4
2013-10-29 07:50:45: 7  0 3193822 1180578   0   0   0   0    0   0 184 64042 2357 76  5 18  0  0.49  98.0
2013-10-29 07:50:51: 5  0 3193822 1180578   0   0   0   0    0   0  17 8006 1410  6  2 92  0  0.07  13.7
2013-10-29 07:50:57: 18  0 3193822 1180578   0   0   0   0    0   0   1 1150 1258  1  1 98  0  0.02   4.5
2013-10-29 07:51:03: 19  0 3193822 1180578   0   0   0   0    0   0   0 1044 1271  1  1 98  0  0.02   3.6
2013-10-29 07:51:09: 18  0 3193822 1180571   0   0   0   0    0   0   3 1169 1278  7  1 91  0  0.07  14.4
2013-10-29 07:51:15: 16  0 3193822 1180571   0   0   0   0    0   0   2 1198 1259  7  2 91  0  0.07  14.4
2013-10-29 07:51:21: 19  0 3193822 1180571   0   0   0   0    0   0   3 1214 1315  8  2 91  0  0.08  16.0
2013-10-29 07:51:27: 16  0 3193822 1180571   0   0   0   0    0   0   5 1259 1278  1  1 98  0  0.02   4.8
2013-10-29 07:51:33: 19  0 3193822 1180571   0   0   0   0    0   0   0 1060 1254  0  1 98  0  0.02   3.3
2013-10-29 07:51:39: kthr    memory              page              faults              cpu
2013-10-29 07:51:39: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 07:51:39: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 07:51:39: 16  0 3193822 1180571   0   0   0   0    0   0   6 1214 1245  7  1 92  0  0.07  14.0
2013-10-29 07:51:45: 4  1 3193822 1180570   0   0   0   0    0   0  65 1686 1341 14  3 83  0  0.14  27.8
2013-10-29 07:51:51: 5  0 3193822 1180570   0   0   0   0    0   0   0 1065 1219  0  1 98  0  0.02   3.6
2013-10-29 07:51:57: 5  0 3193822 1180570   0   0   0   0    0   0   2 1191 1253  7  1 91  0  0.07  14.3
2013-10-29 07:52:03: 5  0 3193822 1180570   0   0   0   0    0   0   1 1048 1230  0  1 98  0  0.02   3.5
2013-10-29 07:52:09: 5  0 3193822 1180570   0   0   0   0    0   0   1 1060 1264  1  1 98  0  0.02   3.6
2013-10-29 07:52:15: 12  0 3193822 1180553   0   0   0   0    0   0   7 299517 19026 82  6 12  0  0.54 108.2
2013-10-29 07:52:21: 4  0 3193822 1180553   0   0   0   0    0   0   5 1482 1485 58  2 40  0  0.38  75.2
2013-10-29 07:52:27: 1  0 3193822 1180551   0   0   0   0    0   0   5 1370 1382  1  1 97  0  0.03   5.4
2013-10-29 07:52:33: 2  0 3193867 1180503   0   0   0   0    0   0  18 13097 1463 30 16 54  0  0.33  66.4
2013-10-29 07:52:39: 2  0 3193866 1180504   0   0   0   0    0   0   4 1124 1270  1  1 98  0  0.02   4.6
2013-10-29 07:52:45: 3  0 3193865 1180505   0   0   0   0    0   0  63 1113 1279  1  3 96  0  0.04   7.4
2013-10-29 07:52:51: 2  0 3193865 1180502   0   0   0   0    0   0  80 6815 1295 12  2 86  0  0.12  23.3
2013-10-29 07:52:57: 2  0 3193865 1180502   0   0   0   0    0   0   0 1085 1225  1  1 98  0  0.02   4.3
2013-10-29 07:53:03: 5  0 3193865 1180500   0   0   0   0    0   0   5 1375 1286 19  2 79  0  0.17  34.6
2013-10-29 07:53:09: 4  0 3193865 1180500   0   0   0   0    0   0   1 1101 1381  1  1 98  0  0.02   4.0
2013-10-29 07:53:15: 3  0 3193865 1180497   0   0   0   0    0   0  17 1103 1195  1  1 97  0  0.03   5.2
2013-10-29 07:53:21: 4  0 3193865 1180495   0   0   0   0    0   0   3 1098 1220  1  1 98  0  0.02   3.8
2013-10-29 07:53:27: 3  0 3193865 1180494   0   0   0   0    0   0   3 2225 1329  1  2 97  0  0.03   5.3
2013-10-29 07:53:33: 3  0 3193865 1180494   0   0   0   0    0   0   1 1070 1249  0  1 98  0  0.02   3.5
2013-10-29 07:53:39: kthr    memory              page              faults              cpu
2013-10-29 07:53:39: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 07:53:39: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 07:53:39: 2  0 3193874 1180479   0   0   0   0    0   0  18 9774 1207  3  2 95  0  0.04   7.8
2013-10-29 07:53:45: 1  0 3193874 1180478   0   0   0   0    0   0  62 1456 1288  1  3 96  0  0.04   7.0
2013-10-29 07:53:51: 1  0 3193874 1180478   0   0   0   0    0   0   0 1065 1269  0  1 98  0  0.02   3.7
2013-10-29 07:53:57: 1  0 3193874 1180476   0   0   0   0    0   0  11 1864 1229  2  1 97  0  0.03   5.7
2013-10-29 07:54:03: 1  0 3193874 1180473   0   0   0   0    0   0   5 1085 1290  1  1 98  0  0.02   4.6
2013-10-29 07:54:09: 1  0 3193874 1180473   0   0   0   0    0   0   3 1183 1278  7  1 92  0  0.07  13.9
2013-10-29 07:54:15: 3  0 3193874 1180472   0   0   0   0    0   0   4 1300 1228 13  2 85  0  0.12  24.6
2013-10-29 07:54:21: 21  0 3193874 1180471   0   0   0   0    0   0  11 275188 44683 80  7 13  0  0.45  90.6
2013-10-29 07:54:27: 5  0 3193874 1180469   0   0   0   0    0   0   7 1543 1549 49  2 50  0  0.31  63.0
2013-10-29 07:54:33: 1  0 3193874 1180468   0   0   0   0    0   0   3 1105 1331  1  1 98  0  0.02   4.4
2013-10-29 07:54:39: 2  0 3193874 1180466   0   0   0   0    0   0  11 1152 1293  1  1 97  0  0.02   4.8
2013-10-29 07:54:45: 1  0 3193874 1180466   0   0   0   0    0   0  58 1101 1285  1  3 96  0  0.03   6.5
2013-10-29 07:54:51: 1  0 3193874 1180464   0   0   0   0    0   0   4 1075 1351  1  1 98  0  0.02   4.1
2013-10-29 07:54:57: 1  0 3193874 1180445   0   0   0   0    0   0  14 1275 1277 10  2 88  0  0.10  19.6
2013-10-29 07:55:03: 2  0 3193874 1180421   0   0   0   0    0   0  11 4449 1294 21  2 77  0  0.19  37.8
2013-10-29 07:55:09: 2  0 3193874 1180406   0   0   0   0    0   0   7 1409 1352 14  2 84  0  0.13  26.4
2013-10-29 07:55:15: 3  0 3193874 1180405   0   0   0   0    0   0   2 1234 1242  7  2 91  0  0.07  14.4
2013-10-29 07:55:21: 4  0 3193874 1180405   0   0   0   0    0   0   4 1272 1333 13  2 86  0  0.12  23.9
2013-10-29 07:55:27: 3  0 3193874 1180405   0   0   0   0    0   0   4 1243 1285  1  1 98  0  0.02   4.6
2013-10-29 07:55:33: 20  0 3193874 1180405   0   0   0   0    0   0   2 190719 41910 89  4  7  0  0.65 129.6
2013-10-29 07:55:39: kthr    memory              page              faults              cpu
2013-10-29 07:55:39: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 07:55:39: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 07:55:39: 6  0 3193874 1180405   0   0   0   0    0   0   5 1151 1384  1  1 98  0  0.02   4.8
2013-10-29 07:55:45: 0  0 3193874 1180405   0   0   0   0    0   0  60 1475 1263  1  3 96  0  0.03   7.0
2013-10-29 07:55:51: 2  0 3193874 1180405   0   0   0   0    0   0   1 1063 1233  0  1 98  0  0.02   3.4
2013-10-29 07:55:57: 0  0 3193874 1180405   0   0   0   0    0   0   1 1085 1314  1  1 98  0  0.02   4.3
2013-10-29 07:56:03: 2  0 3193874 1180405   0   0   0   0    0   0   0 1050 1283  0  1 98  0  0.02   3.5
2013-10-29 07:56:09: 2  0 3193874 1180405   0   0   0   0    0   0   2 1065 1279  0  1 98  0  0.02   3.2
2013-10-29 07:56:15: 0  0 3193874 1180403   0   0   0   0    0   0  12 1521 1246  3  2 95  0  0.04   8.3
2013-10-29 07:56:21: 0  0 3193874 1180403   0   0   0   0    0   0   4 1150 1267  1  1 98  0  0.02   4.6
2013-10-29 07:56:27: 0  0 3193874 1180403   0   0   0   0    0   0   5 1737 1235  2  2 97  0  0.03   6.2
2013-10-29 07:56:33: 0  0 3193874 1180403   0   0   0   0    0   0   0 1050 1183  0  1 98  0  0.02   3.2
2013-10-29 07:56:39: 2  0 3193874 1180403   0   0   0   0    0   0   3 1081 1251  1  1 98  0  0.02   3.8
2013-10-29 07:56:45: 0  0 3193874 1180403   0   0   0   0    0   0  57 1143 1279  1  3 96  0  0.03   6.8
