2013-10-29 06:27:21: 
2013-10-29 06:27:21: System configuration: lcpu=20 mem=24576MB ent=0.50
2013-10-29 06:27:21: 
2013-10-29 06:27:21: kthr    memory              page              faults              cpu
2013-10-29 06:27:21: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 06:27:21: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 06:28:49: 3  0 3062487 1407713   0   0   0   0    0   0 329 22145 1768 10  5 85  0  0.13  25.7
2013-10-29 06:28:51: 3  0 3062487 1407713   0   0   0   0    0   0 140 1288 1447  1  2 97  0  0.03   5.9
2013-10-29 06:28:53: 3  0 3062538 1407661   0   0   0   0    0   0 132 1812 1449  7  3 90  0  0.08  16.3
2013-10-29 06:28:55: 3  0 3062538 1407661   0   0   0   0    0   0 143 1399 1447  1  2 97  0  0.03   6.8
2013-10-29 06:28:57: 3  0 3062538 1407661   0   0   0   0    0   0 160 1290 1568  1  2 97  0  0.03   5.6
2013-10-29 06:28:59: 3  0 3062538 1407661   0   0   0   0    0   0  38 1277 1327  1  2 97  0  0.03   6.1
2013-10-29 06:29:01: 3  0 3062538 1407661   0   0   0   0    0   0  67 1274 1399  1  2 97  0  0.03   5.3
2013-10-29 06:29:03: 5  0 3062538 1407661   0   0   0   0    0   0  77 1268 1401  0  2 98  0  0.02   4.8
2013-10-29 06:29:05: 3  0 3062538 1407661   0   0   0   0    0   0  83 1236 1405  0  2 98  0  0.03   5.2
2013-10-29 06:29:07: 3  0 3062538 1407659   0   0   0   0    0   0  93 1271 1407  1  2 97  0  0.03   5.1
2013-10-29 06:29:09: 3  0 3062538 1407659   0   0   0   0    0   0  77 1409 1339  1  2 97  0  0.03   6.5
2013-10-29 06:29:11: 4  0 3062538 1407659   0   0   0   0    0   0  72 1232 1353  0  2 98  0  0.02   4.6
2013-10-29 06:29:13: 3  0 3062538 1407659   0   0   0   0    0   0  56 1266 1286  1  2 98  0  0.02   4.4
2013-10-29 06:29:15: 3  0 3062538 1407659   0   0   0   0    0   0  95 1323 1366  2  2 96  0  0.04   7.8
2013-10-29 06:29:17: 3  0 3062548 1407649   0   0   0   0    0   0  88 1212 1371  3  2 95  0  0.04   7.1
2013-10-29 06:29:19: 3  0 3062586 1407611   0   0   0   0    0   0  72 1653 1259  3  2 95  0  0.05  10.4
2013-10-29 06:29:21: kthr    memory              page              faults              cpu
2013-10-29 06:29:21: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 06:29:21: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 06:29:21: 3  0 3062586 1407611   0   0   0   0    0   0 135 1392 1532  1  2 97  0  0.03   5.9
2013-10-29 06:29:23: 3  0 3062689 1407507   0   0   0   0    0   0 160 3158 1586  7  3 90  0  0.08  15.1
2013-10-29 06:29:25: 3  0 3062986 1407202   0   0   0   0    0   0  67 43804 1335 32  5 63  0  0.31  61.2
2013-10-29 06:29:27: 3  0 3062986 1407202   0   0   0   0    0   0 167 1329 1656  1  2 97  0  0.03   5.7
2013-10-29 06:29:29: 3  0 3062986 1407202   0   0   0   0    0   0 255 1229 1590  1  6 93  0  0.06  12.6
2013-10-29 06:29:31: 3  0 3062986 1407202   0   0   0   0    0   0  49 1287 1300  1  2 97  0  0.03   6.0
2013-10-29 06:29:33: 3  0 3062986 1407201   0   0   0   0    0   0  84 1267 1411  0  2 98  0  0.02   4.8
2013-10-29 06:29:35: 3  0 3062986 1407201   0   0   0   0    0   0  98 1199 1413  0  2 98  0  0.03   5.1
2013-10-29 06:29:37: 3  0 3062986 1407200   0   0   0   0    0   0  90 1312 1455  1  2 97  0  0.03   5.1
2013-10-29 06:29:39: 3  0 3062986 1407200   0   0   0   0    0   0  66 1373 1352  2  2 96  0  0.04   7.6
2013-10-29 06:29:41: 4  0 3062986 1407200   0   0   0   0    0   0  53 1288 1345  1  2 98  0  0.02   4.9
2013-10-29 06:29:43: 3  0 3062986 1407200   0   0   0   0    0   0  87 1401 1504  1  2 97  0  0.03   6.2
2013-10-29 06:29:45: 3  0 3062986 1407200   0   0   0   0    0   0  56 1292 1331  2  2 96  0  0.03   6.7
2013-10-29 06:29:47: 3  0 3062986 1407200   0   0   0   0    0   0 107 1218 1427  1  2 97  0  0.03   5.2
2013-10-29 06:29:49: 3  0 3062986 1407200   0   0   0   0    0   0  62 1282 1361  1  2 97  0  0.03   5.5
2013-10-29 06:29:51: 3  0 3062986 1407200   0   0   0   0    0   0 130 1335 1414  2  2 96  0  0.04   7.9
2013-10-29 06:29:53: 3  0 3062986 1407200   0   0   0   0    0   0 179 1223 1506  0  2 97  0  0.03   5.3
2013-10-29 06:29:55: 4  0 3063048 1407137   0   0   0   0    0   0 128 1930 1430  6  3 92  0  0.07  14.6
2013-10-29 06:29:57: 5  0 3063154 1407024   0   0   0   0    0   0  49 2110 1365  9  3 88  0  0.10  19.6
2013-10-29 06:29:59: 5  0 3063154 1407024   0   0   0   0    0   0 192 1218 1722  0  2 97  0  0.03   6.3
2013-10-29 06:30:01: kthr    memory              page              faults              cpu
2013-10-29 06:30:01: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 06:30:01: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 06:30:01: 5  0 3063154 1407024   0   0   0   0    0   0  42 2666 1332  1  3 96  0  0.04   7.3
2013-10-29 06:30:03: 6  0 3063154 1407023   0   0   0   0    0   0  58 2217 1358  2  3 95  0  0.04   8.7
2013-10-29 06:30:05: 5  0 3063154 1407023   0   0   0   0    0   0  86 1219 1361  1  3 96  0  0.04   7.9
2013-10-29 06:30:07: 5  0 3063154 1407023   0   0   0   0    0   0  50 1291 1313  1  3 97  0  0.03   6.5
2013-10-29 06:30:09: 5  0 3063154 1407023   0   0   0   0    0   0  76 1420 1299  2  3 95  0  0.05   9.1
2013-10-29 06:30:11: 5  0 3063154 1407023   0   0   0   0    0   0  72 1228 1340  1  3 96  0  0.04   7.4
2013-10-29 06:30:13: 5  1 3063154 1407020   0   0   0   0    0   0 246 1265 1732  1  5 95  0  0.05  10.0
2013-10-29 06:30:15: 5  0 3063154 1407020   0   0   0   0    0   0 226 1327 1636  2  4 94  0  0.06  12.7
2013-10-29 06:30:17: 5  0 3063154 1407020   0   0   0   0    0   0  97 1231 1471  1  3 97  0  0.03   6.5
2013-10-29 06:30:19: 6  0 3063154 1407020   0   0   0   0    0   0 136 1266 1420  1  3 96  0  0.04   8.3
2013-10-29 06:30:21: 5  0 3063154 1407020   0   0   0   0    0   0  88 1378 1384  1  3 96  0  0.04   7.5
2013-10-29 06:30:23: 5  0 3063154 1407020   0   0   0   0    0   0  83 1592 1365  1  3 96  0  0.04   7.1
2013-10-29 06:30:25: 5  0 3063154 1407020   0   0   0   0    0   0 137 1391 1421  2  3 96  0  0.04   8.8
2013-10-29 06:30:27: 6  0 3063154 1407020   0   0   0   0    0   0  11 1324 1239  1  2 97  0  0.03   5.4
2013-10-29 06:30:29: 4  0 3063154 1407020   0   0   0   0    0   0 172 1206 1325  1  6 93  0  0.06  12.4
2013-10-29 06:30:31: 4  0 3063154 1407020   0   0   0   0    0   0  14 1270 1201  1  2 97  0  0.03   6.0
2013-10-29 06:30:33: 5  0 3063154 1407020   0   0   0   0    0   0  24 1261 1280  1  2 97  0  0.03   5.4
2013-10-29 06:30:35: 5  0 3063154 1407020   0   0   0   0    0   0 104 1224 1348  1  3 97  0  0.03   6.7
2013-10-29 06:30:37: 6  0 3063154 1407020   0   0   0   0    0   0  85 1292 1351  1  3 97  0  0.03   6.4
2013-10-29 06:30:39: 6  0 3063154 1407020   0   0   0   0    0   0 192 1353 1479  2  4 94  0  0.06  11.7
