2013-10-29 07:06:21: 
2013-10-29 07:06:21: System configuration: lcpu=20 mem=24576MB ent=0.50
2013-10-29 07:06:21: 
2013-10-29 07:06:21: kthr    memory              page              faults              cpu
2013-10-29 07:06:21: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 07:06:21: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 07:06:21: 2  0 3183565 1245742   0   0   0   0    0   0  26 1269 1236  3  2 95  0  0.05   9.1
2013-10-29 07:06:26: 2  0 3183569 1245617   0   0   0   0    0   0 102 11067 1347  8  3 89  0  0.10  19.6
2013-10-29 07:06:31: 4  0 3183573 1245600   0   0   0   0    0   0  26 1243 1265  3  2 95  0  0.04   8.8
2013-10-29 07:06:36: 5  0 3183573 1245583   0   0   0   0    0   0 303 11216 1694 18  6 77  0  0.20  39.2
2013-10-29 07:06:41: 4  0 3183591 1245522   0   0   0   0    0   0 244 1960 1680 19  4 77  0  0.19  38.5
2013-10-29 07:06:46: 3  0 3183591 1245509   0   0   0   0    0   0  38 1412 1354  4  2 93  0  0.06  11.6
2013-10-29 07:06:51: 2  0 3183591 1245509   0   0   0   0    0   0   3 1178 1299  1  2 97  0  0.03   5.6
2013-10-29 07:06:56: 1  0 3183592 1245202   0   0   0   0    0   0 236 35656 1699 27  6 67  0  0.27  54.1
2013-10-29 07:07:01: 1  0 3183592 1244898   0   0   0   0    0   0 284 3058 1824 22  5 73  0  0.23  45.5
2013-10-29 07:07:06: 3  0 3183592 1244556   0   0   0   0    0   0 309 39898 9987 28  7 66  0  0.29  57.2
2013-10-29 07:07:11: 3  0 3183592 1244274   0   0   0   0    0   0 275 20875 1810 24  6 71  0  0.25  49.4
2013-10-29 07:07:16: 2  0 3183592 1243873   0   0   0   0    0   0 308 27747 1839 25  6 69  0  0.26  52.8
2013-10-29 07:07:21: 1  0 3183592 1243551   0   0   0   0    0   0 304 11337 1857 23  6 71  0  0.24  48.3
2013-10-29 07:07:26: 1  0 3183592 1243120   0   0   0   0    0   0 335 20110 1900 26  6 68  0  0.27  53.3
2013-10-29 07:07:31: 1  0 3183592 1242789   0   0   0   0    0   0 328 43543 1966 27  6 67  0  0.27  54.6
2013-10-29 07:07:36: 3  0 3183608 1242411   0   0   0   0    0   0 386 4011 1961 29  8 63  0  0.31  61.7
