2013-10-29 06:40:19: 
2013-10-29 06:40:19: System configuration: lcpu=20 mem=16384MB ent=0.50
2013-10-29 06:40:19: 
2013-10-29 06:40:19: kthr    memory              page              faults              cpu
2013-10-29 06:40:19: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 06:40:19: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 06:40:19: 6  0 2476238 601101   0   0   0   0    0   0   0 2237 1899  1  3 95  0  0.04   8.3
2013-10-29 06:40:21: 6  0 2476232 601106   0   0   0   0    0   0   0 3576 1927  2  4 95  0  0.05   9.5
2013-10-29 06:40:23: 6  0 2476232 601106   0   0   0   0    0   0   0 2134 1909  1  3 96  0  0.04   7.0
2013-10-29 06:40:25: 19  0 2476232 601106   0   0   0   0    0   0   0 2220 1940  1  3 96  0  0.04   7.9
2013-10-29 06:40:27: 30  0 2476232 601106   0   0   0   0    0   0 405 2325 2393  1 13 84  1  0.11  22.2
2013-10-29 06:40:29: 29  0 2476232 601106   0   0   0   0    0   0   0 2098 1917  1  3 96  0  0.05   9.3
2013-10-29 06:40:31: 22  0 2476232 601106   0   0   0   0    0   0   1 2354 1848  3  3 94  0  0.05  10.8
2013-10-29 06:40:33: 11  0 2476232 601106   0   0   0   0    0   0   1 2309 1898  1  3 96  0  0.04   7.8
2013-10-29 06:40:35: 31  0 2476237 601101   0   0   0   0    0   0   1 2216 2073  1  3 96  0  0.04   8.2
2013-10-29 06:40:37: 31  0 2476237 601101   0   0   0   0    0   0   1 2307 1918  1  3 96  0  0.04   7.4
2013-10-29 06:40:39: 21  0 2476237 601101   0   0   0   0    0   0   6 2312 1918  1  3 96  0  0.04   7.5
2013-10-29 06:40:41: 26  0 2476237 601101   0   0   0   0    0   0   0 2084 1862  1  2 97  0  0.03   6.2
2013-10-29 06:40:43: 6  0 2476237 601101   0   0   0   0    0   0   7 2527 2017  2  4 95  0  0.05  10.0
2013-10-29 06:40:45: 6  0 2476237 601101   0   0   0   0    0   0   1 2206 1871  1  3 96  0  0.04   7.8
2013-10-29 06:40:47: 17  0 2476237 601101   0   0   0   0    0   0   1 2277 1905  2  3 95  0  0.04   8.3
2013-10-29 06:40:49: 6  0 2476237 601101   0   0   0   0    0   0   1 2303 1962  1  3 96  0  0.04   8.1
2013-10-29 06:40:51: 6  0 2476237 601101   0   0   0   0    0   0   0 2204 1871  1  3 96  0  0.04   7.8
2013-10-29 06:40:53: 6  0 2476237 601101   0   0   0   0    0   0   1 2128 1857  1  3 96  0  0.04   7.4
2013-10-29 06:40:55: 6  0 2476237 601101   0   0   0   0    0   0   0 2252 1896  1  3 96  0  0.04   7.8
2013-10-29 06:40:57: 6  0 2476237 601101   0   0   0   0    0   0   2 2256 1900  1  3 96  0  0.04   7.6
2013-10-29 06:40:59: kthr    memory              page              faults              cpu
2013-10-29 06:40:59: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 06:40:59: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 06:40:59: 16  0 2476237 601101   0   0   0   0    0   0   3 2199 1944  1  3 96  0  0.04   7.9
2013-10-29 06:41:01: 14  0 2476237 601101   0   0   0   0    0   0   1 3310 1906  3  3 94  0  0.05   9.7
2013-10-29 06:41:03: 28  0 2476237 601101   0   0   0   0    0   0   1 2302 2005  1  3 96  0  0.04   7.5
2013-10-29 06:41:05: 28  0 2476237 601101   0   0   0   0    0   0   1 2186 1923  1  3 96  0  0.04   7.7
2013-10-29 06:41:07: 26  0 2476237 601101   0   0   0   0    0   0   0 2230 1925  1  3 96  0  0.04   8.0
2013-10-29 06:41:09: 6  0 2476237 601101   0   0   0   0    0   0   0 2250 1927  1  3 96  0  0.04   7.4
2013-10-29 06:41:11: 5  0 2476351 600941   0   0   0   0    0   0  56 94147 2059 45  7 48  0  0.39  78.0
2013-10-29 06:41:13: 28  0 2476480 600783   0   0   0   0    0   0  81 80997 2336 20  6 74  0  0.18  36.7
2013-10-29 06:41:15: 7  0 2476552 600613   0   0   0   0    0   0 107 129807 2343 66  9 25  0  0.53 105.2
2013-10-29 06:41:17: 2  0 2476662 600459   0   0   0   0    0   0  96 98604 13521 61  7 32  0  0.53 106.2
2013-10-29 06:41:19: 12  0 2476773 600258   0   0   0   0    0   0 122 115548 20246 55  8 37  0  0.53 106.2
2013-10-29 06:41:21: 13  0 2477656 599326   0   0   0   0    0   0 157 163518 2247 55  8 37  0  0.54 107.6
2013-10-29 06:41:23: 3  0 2478791 598088   0   0   0   0    0   0  99 161393 6376 57  8 36  0  0.54 107.8
2013-10-29 06:41:25: 5  0 2479054 597719   0   0   0   0    0   0 197 254476 6647 48 12 41  0  0.42  84.4
2013-10-29 06:41:27: 16  1 2479509 597088   0   0   0   0    0   0 448 832248 71152 55 30 15  0  0.55 109.4
2013-10-29 06:41:29: 0  0 2479513 597053   0   0   0   0    0   0  11 2586 2087 13  4 84  0  0.15  29.5
2013-10-29 06:41:31: 0  0 2479513 597053   0   0   0   0    0   0   2 2325 1955  3  3 94  0  0.06  11.5
2013-10-29 06:41:33: 0  0 2479513 597053   0   0   0   0    0   0   1 22383 1952  3  3 94  0  0.06  11.2
2013-10-29 06:41:35: 0  0 2479513 597053   0   0   0   0    0   0   1 2275 2033  1  3 96  0  0.04   7.5
2013-10-29 06:41:37: 11  0 2479513 597053   0   0   0   0    0   0   1 2238 2020  1  3 96  0  0.04   7.4
2013-10-29 06:41:39: kthr    memory              page              faults              cpu
2013-10-29 06:41:39: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 06:41:39: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 06:41:39: 9  0 2479513 597053   0   0   0   0    0   0   6 2215 1859  2  3 95  0  0.04   8.6
2013-10-29 06:41:41: 10  0 2479513 597053   0   0   0   0    0   0   0 3080 1854  1  4 95  0  0.04   8.7
2013-10-29 06:41:43: 8  0 2479513 597053   0   0   0   0    0   0   8 2449 1919  2  4 95  0  0.05   9.8
2013-10-29 06:41:45: 9  0 2479513 597053   0   0   0   0    0   0   1 2190 1908  1  3 96  0  0.04   7.5
