2013-10-29 07:06:16: 
2013-10-29 07:06:16: System configuration: lcpu=20 mem=16384MB ent=0.50
2013-10-29 07:06:16: 
2013-10-29 07:06:16: kthr    memory              page              faults              cpu
2013-10-29 07:06:16: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 07:06:16: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 07:10:01: 9  0 2603418 472761   0   0   0   0    0   0  52 60362 2517 56  7 36  0  0.58 116.6
2013-10-29 07:10:06: 7  0 2603420 472734   0   0   0   0    0   0  28 112103 6766 61  8 31  0  0.65 129.7
2013-10-29 07:10:11: 8  0 2603420 472686   0   0   0   0    0   0  39 43047 4627 56  7 37  0  0.57 114.3
2013-10-29 07:10:16: 5  0 2603420 472644   0   0   0   0    0   0  51 36797 2373 57  6 37  0  0.71 141.1
2013-10-29 07:10:21: 3  0 2603420 472606   0   0   0   0    0   0  34 74495 6074 57  6 37  0  0.69 138.6
2013-10-29 07:10:26: 7  0 2603420 472522   0   0   0   0    0   0  52 43853 2181 60  5 35  0  0.83 166.7
2013-10-29 07:10:31: 5  0 2603420 472484   0   0   0   0    0   0  25 73156 8388 58  7 34  0  0.45  90.5
2013-10-29 07:10:36: 3  0 2603422 472417   0   0   0   0    0   0  57 48758 2141 59  7 34  0  0.55 111.0
2013-10-29 07:10:41: 8  0 2603422 472282   0   0   0   0    0   0  62 108977 2240 59  8 33  0  0.54 108.6
2013-10-29 07:10:46: 27  1 2603422 472252   0   0   0   0    0   0 140 315859 113422 72 16 11  0  0.54 108.0
2013-10-29 07:10:51: 10  0 2603422 472220   0   0   0   0    0   0  31 36180 2799 58  7 35  0  0.49  97.4
2013-10-29 07:10:56: 8  0 2603422 472131   0   0   0   0    0   0  37 37321 2057 61  7 32  0  0.57 114.7
2013-10-29 07:11:01: 3  0 2603422 472093   0   0   0   0    0   0  37 171315 6294 62  8 30  0  0.66 132.1
2013-10-29 07:11:06: 4  0 2603422 472034   0   0   0   0    0   0  40 30100 2272 59  6 35  0  0.69 137.5
2013-10-29 07:11:11: 9  0 2603422 472023   0   0   0   0    0   0  21 47933 2426 44  7 49  0  0.39  78.0
2013-10-29 07:11:16: kthr    memory              page              faults              cpu
2013-10-29 07:11:16: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 07:11:16: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 07:11:16: 12  0 2603422 472003   0   0   0   0    0   0  26 30672 4810 59  7 34  0  0.51 101.9
2013-10-29 07:11:21: 7  0 2603422 471943   0   0   0   0    0   0  33 73835 9233 49  8 43  0  0.41  81.1
2013-10-29 07:11:26: 3  0 2603422 471900   0   0   0   0    0   0  22 68748 4571 64  7 29  0  0.51 102.1
2013-10-29 07:11:31: 7  0 2603423 471870   0   0   0   0    0   0  25 48214 3526 47  7 46  0  0.42  83.1
2013-10-29 07:11:36: 1  0 2603423 471851   0   0   0   0    0   0  30 24042 2313 50  7 43  0  0.45  90.7
2013-10-29 07:11:41: 7  0 2603423 471782   0   0   0   0    0   0  52 385807 85798 58 15 27  0  0.57 114.4
2013-10-29 07:11:46: 5  1 2603423 471709   0   0   0   0    0   0 147 65167 3364 61 12 27  0  0.50 100.6
2013-10-29 07:11:51: 6  0 2603424 474139   0   0   0   0    0   0 133 14713 2225 74  6 20  0  0.67 133.2
2013-10-29 07:11:56: 22  0 2603424 474122   0   0   0   0    0   0  18 329181 62335 65 12 24  0  0.62 123.3
2013-10-29 07:12:01: 8  0 2603424 474053   0   0   0   0    0   0  31 43665 3391 70  7 24  0  0.58 116.6
2013-10-29 07:12:06: 9  0 2603408 474009   0   0   0   0    0   0  27 35547 2108 69  7 24  0  0.53 106.8
2013-10-29 07:12:11: 14  0 2603408 473944   0   0   0   0    0   0  27 371840 66237 64 14 21  0  0.54 107.9
2013-10-29 07:12:16: 6  0 2603408 473918   0   0   0   0    0   0  26 47157 2813 48  7 45  0  0.44  88.1
2013-10-29 07:12:21: 10  0 2603409 473872   0   0   0   0    0   0  44 101186 2337 54  9 38  0  0.53 106.8
2013-10-29 07:12:26: 7  0 2603409 473790   0   0   0   0    0   0  43 79703 5194 61  9 31  0  0.49  97.9
2013-10-29 07:12:31: 11  0 2603409 473769   0   0   0   0    0   0  38 372122 153176 55 19 26  0  0.50 100.9
2013-10-29 07:12:36: 7  0 2603409 473744   0   0   0   0    0   0  27 23077 2119 56  8 37  0  0.49  98.5
2013-10-29 07:12:41: 8  0 2603409 473734   0   0   0   0    0   0  20 32749 2734 46  6 48  0  0.38  76.6
2013-10-29 07:12:46: 7  0 2603409 473699   0   0   0   0    0   0 218 28511 2313 51 11 38  0  0.49  97.2
2013-10-29 07:12:51: 3  0 2603410 473643   0   0   0   0    0   0  37 46000 2646 49  7 44  0  0.45  89.5
2013-10-29 07:12:56: kthr    memory              page              faults              cpu
2013-10-29 07:12:56: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 07:12:56: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 07:12:56: 7  0 2603410 473596   0   0   0   0    0   0  39 101823 8948 58  8 34  0  0.52 104.2
2013-10-29 07:13:01: 6  0 2603410 473543   0   0   0   0    0   0  29 36259 2031 57  7 36  0  0.50  99.0
2013-10-29 07:13:06: 3  0 2603412 473503   0   0   0   0    0   0  32 23794 2098 61  6 32  0  0.56 112.9
2013-10-29 07:13:11: 7  0 2603412 473441   0   0   0   0    0   0  47 36196 3338 53  7 39  0  0.45  89.0
2013-10-29 07:13:16: 12  0 2603412 473387   0   0   0   0    0   0  33 90369 6983 67  7 26  0  0.54 107.1
2013-10-29 07:13:21: 12  0 2603413 473208   0   0   0   0    0   0  52 31809 2166 68  7 25  0  0.51 101.6
2013-10-29 07:13:26: 15  0 2603413 473181   0   0   0   0    0   0  29 346277 90570 67 14 19  0  0.55 110.6
2013-10-29 07:13:31: 10  0 2603413 472974   0   0   0   0    0   0  89 58600 2807 67  6 27  0  0.71 141.4
2013-10-29 07:13:36: 10  0 2603413 472846   0   0   0   0    0   0  35 36462 2889 78  5 17  0  0.81 162.8
2013-10-29 07:13:41: 11  0 2603413 472793   0   0   0   0    0   0  22 29751 4529 68  6 26  0  0.58 116.2
2013-10-29 07:13:46: 23  0 2603413 472717   0   0   0   0    0   0 184 120846 19085 68 10 22  0  0.56 112.5
2013-10-29 07:13:51: 11  0 2603413 472674   0   0   0   0    0   0 109 245228 130846 64 14 22  0  0.63 125.4
2013-10-29 07:13:56: 19  0 2603413 472496   0   0   0   0    0   0  37 13903 2103 67  6 26  0  0.54 107.2
2013-10-29 07:14:01: 3  0 2603413 472461   0   0   0   0    0   0  20 113511 7002 71  8 22  0  0.54 107.9
2013-10-29 07:14:06: 6  0 2603414 472445   0   0   0   0    0   0  59 14401 2184 65  7 28  0  0.51 101.8
2013-10-29 07:14:11: 8  0 2603417 472408   0   0   0   0    0   0  31 24099 2307 59  6 35  0  0.63 125.0
2013-10-29 07:14:16: 14  0 2603417 472387   0   0   0   0    0   0  53 370603 49171 57 14 29  0  0.53 106.0
2013-10-29 07:14:21: 11  0 2603417 472292   0   0   0   0    0   0  33 37716 2078 50  7 43  0  0.43  86.8
2013-10-29 07:14:26: 21  0 2603417 472238   0   0   0   0    0   0  19 331907 86182 75 12 14  0  0.54 108.0
2013-10-29 07:14:31: 2  0 2603417 472124   0   0   0   0    0   0  35 13973 2096 47  6 47  0  0.41  81.9
